,year,lat1,long1,lat2,long2
114752,1998,5.989829,-73.770507,2.9016669999999998,-71.74741999999999
114753,1998,2.9016669999999998,-71.74741999999999,5.989829,-73.770507
114763,1998,6.5226120000000005,3.378704,7.479775999999999,4.563863
114764,1998,7.479775999999999,4.563863,6.5226120000000005,3.378704
114765,1998,8.410029,81.26737,8.410029,81.26737
114767,1998,4.667128,-74.10605600000001,4.582298000000001,-74.219465
114768,1998,3.69748,-73.69899000000001,4.582298000000001,-74.219465
114769,1998,3.69748,-73.69899000000001,4.667128,-74.10605600000001
114770,1998,,,4.582298000000001,-74.219465
114771,1998,,,4.667128,-74.10605600000001
114772,1998,,,3.69748,-73.69899000000001
114773,1998,4.151269999999999,-73.63871999999999,4.582298000000001,-74.219465
114774,1998,4.151269999999999,-73.63871999999999,4.667128,-74.10605600000001
114775,1998,4.151269999999999,-73.63871999999999,3.69748,-73.69899000000001
114776,1998,4.151269999999999,-73.63871999999999,,
114777,1998,4.491366999999999,-74.260486,4.582298000000001,-74.219465
114778,1998,4.491366999999999,-74.260486,4.667128,-74.10605600000001
114779,1998,4.491366999999999,-74.260486,3.69748,-73.69899000000001
114780,1998,4.491366999999999,-74.260486,,
114781,1998,4.491366999999999,-74.260486,4.151269999999999,-73.63871999999999
114782,1998,4.667128,-74.10605600000001,4.491366999999999,-74.260486
114783,1998,3.69748,-73.69899000000001,4.491366999999999,-74.260486
114785,1998,,,4.491366999999999,-74.260486
114788,1998,4.151269999999999,-73.63871999999999,4.491366999999999,-74.260486
114792,1998,4.582298000000001,-74.219465,4.491366999999999,-74.260486
114793,1998,4.582298000000001,-74.219465,4.667128,-74.10605600000001
114794,1998,4.582298000000001,-74.219465,3.69748,-73.69899000000001
114795,1998,4.582298000000001,-74.219465,,
114796,1998,4.582298000000001,-74.219465,4.151269999999999,-73.63871999999999
114809,1998,4.667128,-74.10605600000001,3.69748,-73.69899000000001
114810,1998,4.667128,-74.10605600000001,,
114811,1998,4.667128,-74.10605600000001,4.151269999999999,-73.63871999999999
114825,1998,3.69748,-73.69899000000001,,
114826,1998,3.69748,-73.69899000000001,4.151269999999999,-73.63871999999999
114841,1998,,,4.151269999999999,-73.63871999999999
114857,1998,1.9752779999999999,31.998611,0.169899,30.078078
114858,1998,0.169899,30.078078,1.9752779999999999,31.998611
114859,1998,33.233416,35.516795,33.278407,35.578808
114860,1998,33.278407,35.578808,33.233416,35.516795
114861,1998,56.946203000000004,24.104287,56.946203000000004,24.104287
114862,1998,0.350848,32.580224,0.350848,32.580224
114865,1998,7.4519589999999996,125.807589,7.4519589999999996,125.807589
114867,1998,32.608878999999995,35.289967,31.771599,35.2034
114868,1998,31.771599,35.2034,32.608878999999995,35.289967
114871,1998,9.040794,80.582727,6.941837,79.861687
114872,1998,6.941837,79.861687,9.040794,80.582727
114873,1998,52.368966,9.371329,53.189005,9.52415
114874,1998,53.189005,9.52415,52.368966,9.371329
114875,1998,5.19688,-73.14554,5.0841400000000005,-75.7903
114876,1998,5.0841400000000005,-75.7903,5.19688,-73.14554
114879,1998,19.075984,72.877656,19.075984,72.877656
114880,1998,19.450670000000002,72.81257099999999,19.075984,72.877656
114882,1998,19.075984,72.877656,19.450670000000002,72.81257099999999
114888,1998,11.016845,76.955832,11.016845,76.955832
115680,1998,43.054361,-2.333641,43.066466,-2.489145
115681,1998,43.066466,-2.489145,43.054361,-2.333641
115682,1998,7.921328,81.52467,7.785305,81.427899
115683,1998,7.785305,81.427899,7.921328,81.52467
115686,1998,30.197843,71.467629,31.549465,74.847229
115687,1998,31.549465,74.847229,30.197843,71.467629
115688,1998,36.763763,3.055413,36.763763,3.055413
115699,1998,14.549431,121.033592,14.549431,121.033592
115701,1998,40.075833,20.138889000000002,40.075833,20.138889000000002
115710,1998,,,36.74453,3.05268
115711,1998,36.74453,3.05268,,
115712,1998,36.147222,3.690556,34.840752,0.149473
115713,1998,34.840752,0.149473,36.147222,3.690556
115714,1998,35.855278000000006,1.332222,35.740939000000004,0.750961
115715,1998,35.740939000000004,0.750961,35.855278000000006,1.332222
115716,1998,6.821806,-58.159218,6.821806,-58.159218
115717,1998,-2.080109,29.75988,-2.080109,29.75988
115720,1998,41.351729999999996,21.56214,42.135812,21.717896
115721,1998,42.135812,21.717896,41.351729999999996,21.56214
115722,1997,,,,
115724,1997,12.583333,-16.266667,12.583333,-16.266667
115726,1997,7.276111,-76.56222199999999,7.276111,-76.56222199999999
115873,1997,5.758927,-71.572395,5.758927,-71.572395
115875,1997,43.291618,-1.977903,43.291618,-1.977903
115884,1997,11.079703,77.175836,11.079703,77.175836
115893,1997,42.815371999999996,-1.653616,42.815371999999996,-1.653616
115902,1997,-11.967367999999999,-76.978462,-11.967367999999999,-76.978462
115904,1997,34.08374,74.789902,34.08374,74.789902
115906,1997,26.200605,92.937574,26.200605,92.937574
115915,1997,16.756932,-93.129235,16.756932,-93.129235
116241,1997,8.343891000000001,-73.597043,8.343891000000001,-73.597043
116250,1997,6.952452,79.877983,6.952452,79.877983
116252,1997,37.99749,23.762728,37.99749,23.762728
116256,1997,12.488449000000001,-16.543676,12.488449000000001,-16.543676
